,policy_id,is_claim
0,ID00001,0
1,ID00002,0
2,ID00003,0
3,ID00004,0
4,ID00005,0
5,ID00006,0
6,ID00007,0
7,ID00008,0
8,ID00009,0
9,ID00010,0
10,ID00011,0
11,ID00012,0
12,ID00013,1
13,ID00014,0
14,ID00015,0
15,ID00016,0
16,ID00017,0
17,ID00018,0
18,ID00019,0
19,ID00020,1
20,ID00021,0
21,ID00022,1
22,ID00023,0
23,ID00024,1
24,ID00025,1
25,ID00026,0
26,ID00027,0
27,ID00028,0
28,ID00029,0
29,ID00030,1
30,ID00031,0
31,ID00032,0
32,ID00033,0
33,ID00034,0
34,ID00035,0
35,ID00036,0
36,ID00037,0
37,ID00038,0
38,ID00039,0
39,ID00040,0
40,ID00041,0
41,ID00042,0
42,ID00043,0
43,ID00044,0
44,ID00045,0
45,ID00046,0
46,ID00047,0
47,ID00048,0
48,ID00049,0
49,ID00050,0
50,ID00051,0
51,ID00052,0
52,ID00053,0
53,ID00054,0
54,ID00055,0
55,ID00056,0
56,ID00057,0
57,ID00058,0
58,ID00059,0
59,ID00060,0
60,ID00061,0
61,ID00062,0
62,ID00063,0
63,ID00064,0
64,ID00065,0
65,ID00066,0
66,ID00067,0
67,ID00068,0
68,ID00069,0
69,ID00070,0
70,ID00071,0
71,ID00072,0
72,ID00073,0
73,ID00074,0
74,ID00075,1
75,ID00076,0
76,ID00077,0
77,ID00078,0
78,ID00079,0
79,ID00080,0
80,ID00081,0
81,ID00082,0
82,ID00083,0
83,ID00084,0
84,ID00085,0
85,ID00086,0
86,ID00087,0
87,ID00088,0
88,ID00089,0
89,ID00090,0
90,ID00091,0
91,ID00092,0
92,ID00093,0
93,ID00094,0
94,ID00095,0
95,ID00096,0
96,ID00097,0
97,ID00098,0
98,ID00099,0
99,ID00100,0
100,ID00101,0
101,ID00102,0
102,ID00103,0
103,ID00104,0
104,ID00105,0
105,ID00106,0
106,ID00107,0
107,ID00108,0
108,ID00109,0
109,ID00110,0
110,ID00111,0
111,ID00112,0
112,ID00113,0
113,ID00114,0
114,ID00115,0
115,ID00116,0
116,ID00117,0
117,ID00118,0
118,ID00119,0
119,ID00120,0
120,ID00121,0
121,ID00122,0
122,ID00123,0
123,ID00124,0
124,ID00125,0
125,ID00126,1
126,ID00127,0
127,ID00128,0
128,ID00129,0
129,ID00130,0
130,ID00131,0
131,ID00132,0
132,ID00133,0
133,ID00134,0
134,ID00135,0
135,ID00136,1
136,ID00137,0
137,ID00138,0
138,ID00139,0
139,ID00140,0
140,ID00141,0
141,ID00142,0
142,ID00143,0
143,ID00144,0
144,ID00145,0
145,ID00146,0
146,ID00147,0
147,ID00148,0
148,ID00149,0
149,ID00150,0
150,ID00151,0
151,ID00152,0
152,ID00153,1
153,ID00154,0
154,ID00155,0
155,ID00156,0
